Crop_Name,Category,Avg_Harvest_Days,Market_Demand,Home_Growable,Health_Benefit,Intercropping_Possibility
Dwarf Bay Leaf,Vegetable,90,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Radish,Vegetable,116,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Lime,Fruit,161,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Local Pear,Fruit,288,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Sorghum,Grain,132,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Organic Turmeric,Spice,245,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Bitter Gourd,Vegetable,51,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Fenugreek,Vegetable,60,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Cinnamon,Spice,268,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cocoa,Cash/Plantation,469,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Dwarf Turmeric,Spice,132,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Coriander,Herb/Medicinal,107,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Peas,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Okra,Vegetable,100,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Bottle Gourd,Vegetable,111,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cowpea,Pulse,155,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Cold-Tolerant Ginger,Spice,163,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Hybrid Lemongrass,Herb/Medicinal,72,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Cucumber,Vegetable,115,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Barley,Grain,127,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Bitter Gourd,Vegetable,73,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mustard Seed,Vegetable,77,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Clove,Spice,191,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Hybrid Carrot,Vegetable,55,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Lemongrass,Herb/Medicinal,98,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Blueberry,Fruit,185,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dill,Herb/Medicinal,164,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Custard Apple,Fruit,205,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Onion,Vegetable,90,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Banana,Fruit,287,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Mulberry,Fruit,215,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Oats,Grain,139,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Bottle Gourd,Vegetable,110,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Fenugreek,Vegetable,89,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Capsicum,Vegetable,95,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Parsley,Herb/Medicinal,117,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Cinnamon,Spice,286,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Dill,Herb/Medicinal,80,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Guava,Fruit,94,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Coriander,Herb/Medicinal,74,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Chilli,Vegetable,103,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Mulberry,Fruit,157,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Pearl Millet,Vegetable,86,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Mustard Seed,Vegetable,69,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Soybean,Oilseed,155,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Dwarf Onion,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Mulberry,Fruit,364,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Cucumber,Vegetable,76,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Lettuce,Vegetable,53,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Bottle Gourd,Vegetable,108,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Turmeric,Spice,196,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Cold-Tolerant Pear,Fruit,342,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Custard Apple,Fruit,184,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Blueberry,Fruit,118,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Cold-Tolerant Soybean,Oilseed,107,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant Oats,Grain,137,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Hybrid Castor,Oilseed,120,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Cold-Tolerant French Bean,Vegetable,70,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Orange,Fruit,340,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Heat-Tolerant Spinach,Vegetable,70,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cowpea,Pulse,124,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Soybean,Oilseed,138,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Hybrid Onion,Vegetable,91,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Turmeric,Spice,191,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
Hybrid Dill,Herb/Medicinal,69,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Mint,Herb/Medicinal,107,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Lemongrass,Herb/Medicinal,116,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic French Bean,Vegetable,102,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cold-Tolerant Mulberry,Fruit,185,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Lemon,Fruit,343,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Late-Maturing Maize,Grain,103,High,No,Staple carbohydrate,Yes - can be intercropped with legumes or low-growing vegetables
Lemon,Fruit,277,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Coriander Seed,Vegetable,56,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Grapes,Fruit,309,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
High-Yield Guava,Fruit,205,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Organic Papaya,Fruit,106,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Dwarf Beetroot,Vegetable,72,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Groundnut,Oilseed,108,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Local Tobacco,Cash/Plantation,301,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Late-Maturing Coriander Seed,Vegetable,108,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Sugarcane,Cash/Plantation,323,High,No,General nutrition,No - typically requires full spacing; not suitable for intercropping
Late-Maturing Radish,Vegetable,78,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dill,Herb/Medicinal,111,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Local Cauliflower,Vegetable,105,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Fenugreek,Vegetable,54,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Mint,Herb/Medicinal,88,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Parsley,Herb/Medicinal,42,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Castor,Oilseed,129,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Early-Maturing Mustard,Oilseed,126,High,No,General nutrition,Yes - can be intercropped with legumes or low-growing vegetables
Bottle Gourd,Vegetable,53,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Early-Maturing Coriander Seed,Vegetable,60,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Jackfruit,Fruit,245,High,Yes,Vitamins and fiber,Partial - suitable with compatible vegetables or legumes as intercrop
Hybrid Thyme,Herb/Medicinal,168,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Pearl Millet,Vegetable,57,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Organic Mint,Herb/Medicinal,75,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dwarf Ridge Gourd,Vegetable,87,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Dill,Herb/Medicinal,138,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
High-Yield Cowpea,Pulse,143,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Ridge Gourd,Vegetable,86,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Capsicum,Vegetable,46,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Hybrid Onion,Vegetable,72,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Cowpea,Pulse,96,High,Yes,Protein source,Yes - fixes nitrogen; compatible with cereals or short-duration vegetables
Heat-Tolerant Coriander,Herb/Medicinal,72,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Coriander Seed,Vegetable,98,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Radish,Vegetable,48,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Heat-Tolerant Onion,Vegetable,88,High,Yes,General nutrition,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Basil,Herb/Medicinal,54,Medium,Yes,Medicinal / aromatic,"Yes - can be intercropped with short-duration vegetables, legumes or leafy greens"
Late-Maturing Ginger,Spice,234,Medium,No,"Flavoring, some medicinal uses",Partial - can be grown with compatible vegetables or herbs
